num_traj,data_id,label,lateral_friction_coef,mass_object
0,0,1,0.7153917517802141,3.4228967615939494
0,1,1,0.7153917517802141,3.4228967615939494
0,2,1,0.7153917517802141,3.4228967615939494
0,3,1,0.7153917517802141,3.4228967615939494
0,4,1,0.7153917517802141,3.4228967615939494
0,5,0,0.7153917517802141,3.4228967615939494
0,6,0,0.7153917517802141,3.4228967615939494
0,7,0,0.7153917517802141,3.4228967615939494
0,8,0,0.7153917517802141,3.4228967615939494
0,9,0,0.7153917517802141,3.4228967615939494
1,0,1,0.8134460771918668,2.384118202409988
1,1,1,0.8134460771918668,2.384118202409988
1,2,0,0.8134460771918668,2.384118202409988
1,3,1,0.8134460771918668,2.384118202409988
1,4,1,0.8134460771918668,2.384118202409988
1,5,1,0.8134460771918668,2.384118202409988
1,6,1,0.8134460771918668,2.384118202409988
1,7,1,0.8134460771918668,2.384118202409988
1,8,1,0.8134460771918668,2.384118202409988
1,9,1,0.8134460771918668,2.384118202409988
2,0,1,0.229147008778738,4.170561870863591
2,1,1,0.229147008778738,4.170561870863591
2,2,1,0.229147008778738,4.170561870863591
2,3,1,0.229147008778738,4.170561870863591
2,4,1,0.229147008778738,4.170561870863591
2,5,0,0.229147008778738,4.170561870863591
2,6,0,0.229147008778738,4.170561870863591
2,7,0,0.229147008778738,4.170561870863591
2,8,0,0.229147008778738,4.170561870863591
2,9,0,0.229147008778738,4.170561870863591
3,0,1,0.855342499999829,3.366743536738767
3,1,1,0.855342499999829,3.366743536738767
3,2,1,0.855342499999829,3.366743536738767
3,3,1,0.855342499999829,3.366743536738767
3,4,1,0.855342499999829,3.366743536738767
3,5,0,0.855342499999829,3.366743536738767
3,6,0,0.855342499999829,3.366743536738767
3,7,0,0.855342499999829,3.366743536738767
3,8,0,0.855342499999829,3.366743536738767
3,9,0,0.855342499999829,3.366743536738767
4,0,1,0.7697446287878748,1.1633268495136675
4,1,1,0.7697446287878748,1.1633268495136675
4,2,1,0.7697446287878748,1.1633268495136675
4,3,1,0.7697446287878748,1.1633268495136675
4,4,1,0.7697446287878748,1.1633268495136675
4,5,1,0.7697446287878748,1.1633268495136675
4,6,1,0.7697446287878748,1.1633268495136675
4,7,1,0.7697446287878748,1.1633268495136675
4,8,1,0.7697446287878748,1.1633268495136675
4,9,1,0.7697446287878748,1.1633268495136675
5,0,1,0.5257121268404934,3.921350154285421
5,1,1,0.5257121268404934,3.921350154285421
5,2,1,0.5257121268404934,3.921350154285421
5,3,1,0.5257121268404934,3.921350154285421
5,4,1,0.5257121268404934,3.921350154285421
5,5,0,0.5257121268404934,3.921350154285421
5,6,0,0.5257121268404934,3.921350154285421
5,7,0,0.5257121268404934,3.921350154285421
5,8,0,0.5257121268404934,3.921350154285421
5,9,0,0.5257121268404934,3.921350154285421
6,0,1,0.4535697954714901,2.1049731606408066
6,1,1,0.4535697954714901,2.1049731606408066
6,2,1,0.4535697954714901,2.1049731606408066
6,3,1,0.4535697954714901,2.1049731606408066
6,4,1,0.4535697954714901,2.1049731606408066
6,5,1,0.4535697954714901,2.1049731606408066
6,6,1,0.4535697954714901,2.1049731606408066
6,7,1,0.4535697954714901,2.1049731606408066
6,8,1,0.4535697954714901,2.1049731606408066
6,9,1,0.4535697954714901,2.1049731606408066
7,0,1,0.5836708779428502,2.445158646400357
7,1,1,0.5836708779428502,2.445158646400357
7,2,1,0.5836708779428502,2.445158646400357
7,3,1,0.5836708779428502,2.445158646400357
7,4,1,0.5836708779428502,2.445158646400357
7,5,1,0.5836708779428502,2.445158646400357
7,6,1,0.5836708779428502,2.445158646400357
7,7,1,0.5836708779428502,2.445158646400357
7,8,1,0.5836708779428502,2.445158646400357
7,9,1,0.5836708779428502,2.445158646400357
